trans_date,first,last,merchant,category,amount,city,state,is_fraud,email
05/26/2026 13:15,Rohan,Singh,Croma,food,30923.43,Mumbai,MH,0,rohan.singh@mail.com
07/19/2026 04:27,Ananya,Kapoor,Apple Store,shopping,23760.59,Bangalore,WB,0,ananya.kapoor@mail.com
08/05/2026 05:22,Aditya,Kapoor,Croma,food,74498.89,Pune,KA,0,aditya.kapoor@mail.com
08/15/2026 12:47,Ananya,Reddy,IRCTC,food,1305.02,Bangalore,MH,0,ananya.reddy@mail.com
01/25/2026 06:58,Aarav,Nair,Nike,electronics,23698.96,Ahmedabad,MH,1,aarav.nair@mail.com
09/03/2026 17:00,Ishaan,Patel,Nike,electronics,9680.18,Pune,TN,0,ishaan.patel@mail.com
08/18/2026 19:25,Kavya,Nair,Dominos,grocery,57522.21,Pune,GJ,0,kavya.nair@mail.com
02/27/2026 22:54,Kavya,Kapoor,Reliance Store,travel,22426.13,Bangalore,GJ,0,kavya.kapoor@mail.com
06/18/2026 10:54,Aditya,Kapoor,Air India,shopping,20395.74,Hyderabad,GJ,0,aditya.kapoor@mail.com
07/15/2026 21:06,Ananya,Singh,Dominos,food,22693.69,Kolkata,GJ,0,ananya.singh@mail.com
12/05/2026 06:24,Neha,Nair,Uber,electronics,48757.74,Pune,GJ,0,neha.nair@mail.com
08/17/2026 00:53,Riya,Verma,Nike,travel,52357.94,Chennai,MH,1,riya.verma@mail.com
02/10/2026 04:09,Ananya,Reddy,Myntra,transport,67919.48,Bangalore,TN,1,ananya.reddy@mail.com
02/23/2026 08:18,Aditya,Patel,Apple Store,grocery,35791.44,Bangalore,MH,0,aditya.patel@mail.com
10/07/2026 04:40,Aditya,Mehta,Swiggy,grocery,17788.99,Pune,WB,0,aditya.mehta@mail.com
11/24/2026 04:00,Aarav,Patel,Reliance Store,electronics,50045.65,Delhi,KA,1,aarav.patel@mail.com
09/13/2026 22:17,Ananya,Reddy,Nike,travel,61567.61,Kolkata,DL,0,ananya.reddy@mail.com
09/08/2026 16:53,Riya,Mehta,Myntra,shopping,37944.37,Ahmedabad,DL,0,riya.mehta@mail.com
08/27/2026 22:37,Arjun,Kapoor,Zomato,electronics,38702.34,Chennai,TS,0,arjun.kapoor@mail.com
04/05/2026 10:30,Aditya,Kapoor,Uber,grocery,29231.42,Mumbai,DL,0,aditya.kapoor@mail.com
09/28/2026 00:08,Aarav,Singh,Swiggy,travel,61905.47,Delhi,KA,1,aarav.singh@mail.com
12/15/2026 13:56,Ananya,Singh,Pizza Hut,electronics,25038.77,Ahmedabad,GJ,0,ananya.singh@mail.com
05/20/2026 09:03,Meera,Sharma,Pizza Hut,shopping,79555.0,Pune,TN,0,meera.sharma@mail.com
12/23/2026 15:43,Riya,Nair,Starbucks,grocery,48484.77,Bangalore,MH,0,riya.nair@mail.com
05/04/2026 18:28,Aditya,Nair,Air India,grocery,46120.76,Bangalore,DL,1,aditya.nair@mail.com
02/14/2026 02:57,Ananya,Gupta,Croma,transport,47430.2,Hyderabad,DL,1,ananya.gupta@mail.com
07/09/2026 14:46,Riya,Reddy,Uber,travel,20075.79,Hyderabad,KA,0,riya.reddy@mail.com
01/11/2026 12:31,Kavya,Gupta,Zomato,travel,17403.14,Delhi,TS,0,kavya.gupta@mail.com
08/01/2026 08:11,Neha,Patel,Zomato,grocery,78945.48,Kolkata,TS,0,neha.patel@mail.com
07/18/2026 08:28,Riya,Gupta,Reliance Store,food,46888.87,Hyderabad,GJ,0,riya.gupta@mail.com
10/06/2026 00:06,Aarav,Sharma,Amazon,travel,44692.5,Hyderabad,GJ,1,aarav.sharma@mail.com
07/05/2026 08:33,Ananya,Gupta,Zomato,travel,40634.51,Kolkata,WB,0,ananya.gupta@mail.com
07/11/2026 06:26,Ananya,Nair,Zomato,shopping,35057.39,Kolkata,DL,0,ananya.nair@mail.com
02/01/2026 20:26,Arjun,Kapoor,Swiggy,transport,72925.13,Hyderabad,DL,0,arjun.kapoor@mail.com
07/09/2026 07:43,Riya,Verma,Nike,shopping,71208.25,Kolkata,DL,0,riya.verma@mail.com
01/22/2026 18:58,Neha,Reddy,Amazon,transport,60956.61,Mumbai,KA,0,neha.reddy@mail.com
07/06/2026 02:26,Meera,Mehta,IRCTC,shopping,70744.76,Bangalore,TN,1,meera.mehta@mail.com
04/15/2026 13:19,Ishaan,Patel,Big Bazaar,shopping,21443.6,Mumbai,KA,0,ishaan.patel@mail.com
07/08/2026 22:22,Ananya,Verma,Swiggy,shopping,27366.18,Ahmedabad,GJ,0,ananya.verma@mail.com
01/16/2026 20:34,Rohan,Reddy,Flipkart,grocery,26129.61,Mumbai,MH,1,rohan.reddy@mail.com
05/21/2026 00:30,Rohan,Mehta,Starbucks,electronics,41895.98,Chennai,KA,1,rohan.mehta@mail.com
04/22/2026 05:39,Rohan,Verma,Myntra,grocery,39266.92,Delhi,DL,0,rohan.verma@mail.com
10/01/2026 14:20,Kavya,Gupta,Dominos,grocery,5758.06,Hyderabad,TS,0,kavya.gupta@mail.com
02/20/2026 11:27,Kavya,Nair,Amazon,grocery,14212.33,Mumbai,GJ,0,kavya.nair@mail.com
10/27/2026 12:16,Rohan,Patel,Big Bazaar,food,29838.44,Hyderabad,DL,0,rohan.patel@mail.com
04/18/2026 11:10,Riya,Sharma,Zomato,grocery,72885.77,Bangalore,TS,0,riya.sharma@mail.com
08/15/2026 15:53,Ishaan,Gupta,Air India,shopping,38221.0,Ahmedabad,TS,0,ishaan.gupta@mail.com
08/01/2026 11:02,Arjun,Singh,Starbucks,travel,7138.11,Bangalore,MH,0,arjun.singh@mail.com
04/07/2026 11:20,Meera,Reddy,Starbucks,travel,1216.99,Ahmedabad,MH,0,meera.reddy@mail.com
03/04/2026 18:11,Arjun,Kapoor,Croma,transport,78356.06,Delhi,GJ,0,arjun.kapoor@mail.com
11/11/2026 08:04,Arjun,Patel,Apple Store,grocery,26945.92,Pune,WB,0,arjun.patel@mail.com
06/28/2026 17:09,Ishaan,Patel,Nike,grocery,78485.71,Chennai,DL,0,ishaan.patel@mail.com
03/07/2026 11:17,Neha,Mehta,Air India,grocery,18250.92,Delhi,TS,0,neha.mehta@mail.com
09/21/2026 11:50,Aditya,Mehta,Swiggy,transport,4627.29,Pune,DL,0,aditya.mehta@mail.com
05/06/2026 07:43,Ananya,Das,Reliance Store,shopping,32531.06,Kolkata,TS,0,ananya.das@mail.com
02/09/2026 23:42,Neha,Singh,Amazon,shopping,76805.19,Ahmedabad,TN,0,neha.singh@mail.com
06/21/2026 16:51,Aarav,Kapoor,Myntra,shopping,77993.29,Hyderabad,DL,0,aarav.kapoor@mail.com
07/23/2026 22:32,Rohan,Verma,Big Bazaar,transport,52546.12,Mumbai,WB,0,rohan.verma@mail.com
11/09/2026 09:48,Arjun,Das,Swiggy,electronics,15930.86,Hyderabad,WB,0,arjun.das@mail.com
05/21/2026 01:52,Meera,Kapoor,Apple Store,grocery,19582.68,Kolkata,MH,0,meera.kapoor@mail.com
07/20/2026 19:52,Kavya,Gupta,Nike,food,65872.52,Ahmedabad,DL,0,kavya.gupta@mail.com
05/04/2026 18:41,Neha,Das,Ola,food,67745.56,Ahmedabad,KA,0,neha.das@mail.com
03/10/2026 10:06,Aarav,Mehta,Reliance Store,travel,68279.4,Hyderabad,DL,0,aarav.mehta@mail.com
12/21/2026 11:50,Aditya,Nair,IRCTC,transport,13518.08,Ahmedabad,GJ,0,aditya.nair@mail.com
10/04/2026 07:37,Kavya,Patel,Amazon,shopping,72293.57,Chennai,MH,0,kavya.patel@mail.com
06/02/2026 16:36,Aditya,Nair,Flipkart,travel,69575.22,Mumbai,WB,0,aditya.nair@mail.com
04/27/2026 05:53,Rohan,Sharma,Zomato,shopping,66415.01,Pune,MH,0,rohan.sharma@mail.com
07/27/2026 13:43,Rohan,Patel,Big Bazaar,electronics,55371.5,Bangalore,KA,0,rohan.patel@mail.com
03/26/2026 11:09,Riya,Reddy,Air India,food,26591.19,Mumbai,MH,0,riya.reddy@mail.com
09/20/2026 11:06,Meera,Reddy,Myntra,shopping,76390.31,Bangalore,WB,0,meera.reddy@mail.com
08/27/2026 10:50,Aditya,Sharma,Croma,food,49562.55,Kolkata,KA,0,aditya.sharma@mail.com
05/19/2026 23:46,Riya,Singh,Uber,food,67102.14,Mumbai,MH,0,riya.singh@mail.com
05/18/2026 01:40,Meera,Singh,Flipkart,shopping,9622.4,Delhi,DL,0,meera.singh@mail.com
02/27/2026 00:26,Rohan,Mehta,Ola,grocery,32149.37,Chennai,KA,0,rohan.mehta@mail.com
10/19/2026 02:23,Neha,Nair,IRCTC,food,224.15,Bangalore,WB,0,neha.nair@mail.com
05/10/2026 23:39,Aarav,Das,Croma,food,47415.3,Delhi,TN,0,aarav.das@mail.com
01/11/2026 06:02,Ananya,Mehta,Apple Store,electronics,55315.46,Hyderabad,WB,0,ananya.mehta@mail.com
08/23/2026 00:23,Aarav,Gupta,Croma,shopping,45445.33,Delhi,WB,1,aarav.gupta@mail.com
09/21/2026 19:21,Ishaan,Verma,Uber,grocery,73137.4,Hyderabad,GJ,0,ishaan.verma@mail.com
11/07/2026 21:39,Aditya,Sharma,Croma,food,4875.6,Hyderabad,TS,0,aditya.sharma@mail.com
08/28/2026 22:33,Neha,Reddy,Reliance Store,food,60775.85,Delhi,TN,0,neha.reddy@mail.com
05/08/2026 21:41,Ananya,Nair,Pizza Hut,shopping,44572.84,Kolkata,MH,0,ananya.nair@mail.com
03/06/2026 09:03,Riya,Kapoor,Myntra,transport,46140.74,Kolkata,TN,0,riya.kapoor@mail.com
01/13/2026 14:20,Ananya,Kapoor,Nike,travel,23382.5,Bangalore,MH,0,ananya.kapoor@mail.com
07/03/2026 12:57,Ishaan,Gupta,Swiggy,shopping,15024.47,Chennai,TN,0,ishaan.gupta@mail.com
11/24/2026 08:43,Rohan,Mehta,Croma,grocery,48397.65,Kolkata,KA,1,rohan.mehta@mail.com
11/28/2026 07:04,Kavya,Gupta,Swiggy,travel,64390.68,Pune,WB,0,kavya.gupta@mail.com
01/07/2026 14:48,Neha,Singh,Amazon,shopping,61547.23,Bangalore,DL,0,neha.singh@mail.com
12/27/2026 16:18,Aditya,Kapoor,Croma,travel,76222.24,Kolkata,GJ,0,aditya.kapoor@mail.com
07/19/2026 19:03,Riya,Singh,Apple Store,shopping,1248.58,Delhi,TS,0,riya.singh@mail.com
08/14/2026 04:09,Neha,Gupta,Zomato,food,69442.76,Kolkata,MH,1,neha.gupta@mail.com
01/03/2026 17:18,Ananya,Verma,Croma,grocery,13835.25,Bangalore,MH,0,ananya.verma@mail.com
08/26/2026 19:59,Neha,Nair,Swiggy,electronics,44105.53,Bangalore,TS,0,neha.nair@mail.com
07/14/2026 13:39,Aditya,Verma,Zomato,travel,73899.34,Hyderabad,MH,0,aditya.verma@mail.com
12/05/2026 02:56,Neha,Patel,Uber,travel,46983.97,Kolkata,MH,1,neha.patel@mail.com
10/17/2026 23:51,Aarav,Kapoor,Uber,shopping,20473.18,Pune,WB,0,aarav.kapoor@mail.com
10/13/2026 11:36,Meera,Sharma,Myntra,shopping,14423.83,Hyderabad,MH,0,meera.sharma@mail.com
08/03/2026 01:40,Aarav,Mehta,Myntra,shopping,74754.82,Pune,KA,1,aarav.mehta@mail.com
